"annualprecip","P50"
1220,-1.97
380,-8.33
380,-4.63
1132,-5.56
138,-0.721671225
1800,-1.56
410,-4.124834259
1132,-5.12
868,-2.69
868,-2.84
1500,-1.72
1132,-3.17
1364,-4.35
1500,-1.48
380,-7.3
380,-9.54
611,-6
380,-4.7
379,-8.082223692
380,-6.16
380,-7.22
1220,-2.52
1015,-1.8
380,-7.46
1800,-2.1
200,-2.9
200,-4.25
2000,-0.692
1364,-5.2
410,-4.285854251
1132,-1.44
380,-5.61
611,-4
1460,-3.6
1460,-2.34
1460,-3.6
2600,-2.57
2600,-2.33
1220,-5.84
1276,-1.48
880,-2.7
406,-1.832454871
812,-1.31
1800,-1.9
650,-6.5
611,-6.6
200,-5.25
380,-6.24
1500,-2.8
1500,-3.17
138,-2.184267815
420,-11.6
355,-9
420,-11.9
1320,-5.8
1220,-7.12
1500,-1.91
410,-2.346665438
410,-4.378079973
1220,-3.12
406,-2.060542314
380,-1.57
3100,-2.7
868,-1.07
2000,-2.98
410,-6.204475585
1500,-3.4
1500,-3.1
1500,-3.08
1500,-2.12
880,-1.3
1220,-1.82
1500,-1.48
1220,-4.54
1621,-7
1138,-2.48
1150,-3.6
410,-3.814472499
3100,-1.7
380,-4.39
1138,-3.29
1500,-1.65
380,-1.97
1220,-1.37
380,-5.1
300,-6.96
1220,-0.92
1465,-4.56
1220,-1.31
1220,-1.42
910,-3.3
1220,-1.61
611,-5.5
380,-2.49
379,-2.507506847
380,-5.35
380,-7.18
380,-1.8
611,-2.7
380,-2.95
611,-7.3
650,-8.3
1500,-1.72
1800,-1.68
1500,-3.6
1500,-3.35
1500,-2
1500,-1.5
1500,-1.6
3100,-1.6
3100,-1.8
200,-5.5
3100,-1.1
380,-1.35
3100,-1
