species,site ,elev ,age ,DBH ,height ,folmass ,SLA ,biomass 
acru,mulb,884,53,6.3,10.32,0.41,163.03,11
acru,mulb,884,55,10.4,13.85,1.65,131.59,34.96
acru,mulb,884,46,12.9,16.5,2.49,153.93,69.48
acru,mulb,884,64,13.4,17.88,2.57,149.59,65.64
acru,mulb,884,61,14.6,18.8,3.36,111.91,83.11
acru,mulb,884,71,15.1,14.52,2.73,148.81,86.95
acru,brkscove,914,59,21,19.6,8.76,164.33,193.17
acru,ballcrcv,732,110,26.5,26.34,7.82,152.67,425.39
acru,dykegap,793,76,36.9,27,21.11,120.04,948.08
acru,dykegap,793,135,45.1,33.55,12.75,143.49,1653.64
acru,dykegap,793,100,52.4,29,22.35,156.97,2386.94
bele,shopefrk,762,29,7.8,13.3,0.2,527.97,14.97
bele,shopefrk,762,44,11.6,16.95,0.54,486.5,56.89
bele,dykecove,792,49,13,19.9,0.81,269.37,57.9
bele,shopefrk,762,79,15.8,18.79,0.65,491.82,80.69
bele,shopefrk,762,83,18,23.22,1.98,291.56,185.64
bele,dykecove,792,65,22.1,21.7,3.3,282.07,214.4
bele,shopefrk,762,68,29.2,25.71,4.53,357.43,566.65
bele,shopefrk,762,67,31.9,27,6.58,205.41,747.31
bele,drymans,1067,63,36.2,23.9,9.45,178.56,873.29
bele,dykegap,793,100,39.6,28.2,18.59,178.18,1520.02
caov,brkscove,914,45,8.2,9.7,0.76,252.72,16.79
caov,brkscove,914,57,12.7,14.65,1.55,153.02,48.99
caov,mulb,884,60,15.9,18.6,0.65,132.16,82.91
caov,mulb,884,63,19.8,23.6,1.58,100.12,196.79
caov,mulb,884,48,21.1,24.2,1.96,137.89,216.78
caov,mulb,884,121,23.3,21.23,4.11,152.81,327.89
caov,brkscove,914,94,32.7,29.51,9.25,148.33,703.84
caov,mulb,884,114,38.9,31.61,31.88,127.07,1145.1
caov,drymans,1164,171,46.6,26.6,30.53,91.11,1812.95
caov,drymans,1067,188,52.3,28.9,24.01,105.8,2709.71
cofl,ballcreek,777,21,3.8,5.55,0.12,368.32,1.89
cofl,shopefrk,762,0,5.7,4.64,0.14,439.02,4.43
cofl,brkscove,914,0,6.8,7,0.58,255.72,9.26
cofl,ballcreek,777,0,10.2,10,0.75,318.96,26.74
litu,kloeppel,747,30,10.2,14.1,0.75,222.59,27.21
litu,mulb,884,46,17,18.3,2.32,185.44,86.33
litu,mulb,884,70,20.1,23.15,1.3,165.67,147.1
litu,dykegap,793,65,26.2,30.4,3.8,226.79,332.75
litu,ballcrcv,732,66,29.2,29.13,6.14,156.97,505.39
litu,mulb,884,64,30.3,30.11,3.3,175.28,540.91
litu,kloeppel,747,69,34.4,30.55,10.57,155.69,673.21
litu,shopefrk,762,69,41,34.34,16.47,180.79,892.44
litu,dykegap,793,68,47.4,34.95,11.53,194.24,1456.05
litu,dykegap,793,81,55.8,39.69,16.66,173.35,2256.33
oxar,brkscove,914,25,4.3,5.1,0.2,273.64,2.11
oxar,mulb,884,47,11.6,16.35,0.77,246.18,45.49
oxar,mulb,884,48,13.8,14.25,1.4,139.58,57.95
oxar,ballcreek,762,59,19.3,19.64,1.89,261.59,126.25
oxar,mulb,884,55,20.2,19.1,2.09,202.26,124.66
oxar,mulb,884,49,22.5,19.9,4.05,136.85,247.63
oxar,mulb,884,103,28.4,20.5,3.34,141.78,344.8
oxar,drymans,1074,88,34.6,17.2,4.37,179.35,415.66
qual,parking lot,701,22,7,7.8,0.73,222.4,9.97
qual,brkscove,914,66,12.6,11.5,2,172.41,41.31
qual,brkscove,914,76,16.9,15,1.93,146.33,83.25
qual,drymans,1082,130,22.7,16.4,1.69,130.4,133.14
qual,drymans,1067,180,27.9,19.6,16.5,102.35,403.27
qual,drymans,1067,181,29.2,18.1,5.17,118.19,281.66
qual,drymans,1067,168,32.4,25.55,14.34,119.2,573.77
qual,drymans,1067,181,41.3,21.8,9.21,106.91,805.66
qual,drymans,1067,148,44.9,26.2,43.78,106.81,1448.54
qual,drymans,1158,264,63,31.9,12.31,95.06,2739.71
quco,drymans,1067,41,15,13.5,5.72,97.41,74.85
quco,dykegap,853,94,23.9,18.9,7.3,122.65,264.07
quco,dykegap,853,106,28.6,22.35,8.41,112.28,421.08
quco,dykegap,853,97,34,22.29,10.04,111.39,672.12
quco,dykegap,853,98,43.3,26.14,16.27,120.63,1338.89
qupr,drymans,1067,50,10.6,12.3,1.09,142.11,26.62
qupr,ballcreek,777,85,15,14.39,1.04,211.9,65.04
qupr,drymans,1067,93,18.5,14.3,4.54,100.75,100.6
qupr,mulb,884,82,20.8,20.3,2.66,101.26,159.04
qupr,mulb,884,84,24.7,20.53,5.38,93.46,361.06
qupr,mulb,884,84,26.7,22,4.55,108.02,340.61
qupr,drymans,1074,56,28.3,19.1,18.83,106.06,533.59
qupr,drymans,1067,92,36.4,21.6,22.98,116.71,1044.03
qupr,ballcreek,777,111,41.1,27.04,13.76,139.68,1237.5
qupr,drymans,1158,146,57.5,29.5,28.15,109.75,2990.44
quru,coldspng,1231,48,10.7,11.8,0.78,148.22,24.28
quru,drymans,1067,81,15.8,12.3,2.48,152.35,77.16
quru,mulb,884,71,19.7,20.2,3.31,111.13,182.85
quru,ballcreek,777,77,23.5,22.3,2.27,145.73,266.49
quru,coldspng,1231,79,28.7,23.4,6.59,127.32,413.64
quru,drymans,1067,67,34.1,21,19.88,120.73,589.98
quru,mulb,884,91,40.7,29.3,15.72,110.91,1042.26
quru,coldspng,1231,113,49.2,24.75,40.65,118.52,1481.69
quru,drymans,1158,131,52,24.9,20.07,109.28,1750.21
