"species","site","elev","age","DBH","height","folmass","SLA","biomass"
"bele","shopefrk",762,29,7.8,13.3,0.2,527.97,14.97
"bele","shopefrk",762,44,11.6,16.95,0.54,486.5,56.89
"bele","dykecove",792,49,13,19.9,0.81,269.37,57.9
"bele","shopefrk",762,79,15.8,18.79,0.65,491.82,80.69
"bele","shopefrk",762,83,18,23.22,1.98,291.56,185.64
"bele","dykecove",792,65,22.1,21.7,3.3,282.07,214.4
"bele","shopefrk",762,68,29.2,25.71,4.53,357.43,566.65
"bele","shopefrk",762,67,31.9,27,6.58,205.41,747.31
"bele","drymans",1067,63,36.2,23.9,9.45,178.56,873.29
"bele","dykegap",793,100,39.6,28.2,18.59,178.18,1520.02
"cofl","ballcreek",777,21,3.8,5.55,0.12,368.32,1.89
"cofl","shopefrk",762,0,5.7,4.64,0.14,439.02,4.43
"cofl","brkscove",914,0,6.8,7,0.58,255.72,9.26
"cofl","ballcreek",777,0,10.2,10,0.75,318.96,26.74
"oxar","brkscove",914,25,4.3,5.1,0.2,273.64,2.11
"oxar","mulb",884,47,11.6,16.35,0.77,246.18,45.49
"oxar","mulb",884,48,13.8,14.25,1.4,139.58,57.95
"oxar","ballcreek",762,59,19.3,19.64,1.89,261.59,126.25
"oxar","mulb",884,55,20.2,19.1,2.09,202.26,124.66
"oxar","mulb",884,49,22.5,19.9,4.05,136.85,247.63
"oxar","mulb",884,103,28.4,20.5,3.34,141.78,344.8
"oxar","drymans",1074,88,34.6,17.2,4.37,179.35,415.66
"quru","coldspng",1231,48,10.7,11.8,0.78,148.22,24.28
"quru","drymans",1067,81,15.8,12.3,2.48,152.35,77.16
"quru","mulb",884,71,19.7,20.2,3.31,111.13,182.85
"quru","ballcreek",777,77,23.5,22.3,2.27,145.73,266.49
"quru","coldspng",1231,79,28.7,23.4,6.59,127.32,413.64
"quru","drymans",1067,67,34.1,21,19.88,120.73,589.98
"quru","mulb",884,91,40.7,29.3,15.72,110.91,1042.26
"quru","coldspng",1231,113,49.2,24.75,40.65,118.52,1481.69
"quru","drymans",1158,131,52,24.9,20.07,109.28,1750.21
