T_treatment,CO2_treatment,Gender,PupalWeight,Frass
ambient,280,0,0.244,1.9
ambient,280,1,0.319,2.77
ambient,280,0,0.221,
ambient,280,0,0.28,1.996
ambient,280,0,0.257,1.069
ambient,280,1,0.333,2.257
ambient,280,0,0.275,2.198
ambient,280,1,0.312,1.873
ambient,280,0,0.254,2.22
ambient,280,1,0.356,1.807
ambient,280,0,0.258,1.877
ambient,280,0,0.224,1.488
ambient,280,1,0.383,2.033
ambient,280,,0.344,1.913
ambient,400,0,0.244,1.665
ambient,400,0,0.314,1.793
ambient,400,1,0.345,1.818
ambient,400,1,0.384,2.672
ambient,400,0,0.304,2.168
ambient,400,1,0.385,2.603
ambient,400,,0.42,2.096
ambient,400,1,0.411,2.536
ambient,400,0,0.295,2.172
ambient,400,0,0.26,1.886
ambient,400,1,0.405,3.117
ambient,400,1,0.332,1.735
ambient,400,1,0.352,1.919
ambient,400,0,0.247,1.553
ambient,400,0,0.473,2.631
ambient,400,1,0.338,2.095
ambient,400,1,0.355,2.22
ambient,400,1,0.289,1.965
ambient,400,,0.262,1.893
ambient,400,1,0.374,2.121
ambient,400,0,0.295,1.657
ambient,400,1,0.312,1.739
ambient,400,,0.469,2.747
elevated,280,1,0.391,1.617
elevated,280,1,0.294,1.636
elevated,280,0,0.285,1.513
elevated,280,1,0.324,1.385
elevated,280,1,0.378,1.806
elevated,280,0,0.276,1.444
elevated,280,0,0.229,1.22
elevated,280,0,0.293,1.501
elevated,280,1,0.299,1.765
elevated,280,0,0.391,1.411
elevated,280,0,0.238,1.282
elevated,280,0,0.248,1.358
elevated,280,0,0.246,1.093
elevated,280,0,0.286,1.369
elevated,280,1,0.396,1.826
elevated,280,0,0.244,1.388
elevated,280,0,0.212,0.986
elevated,280,1,0.214,1.414
elevated,280,,0.388,1.632
elevated,280,0,0.268,1.378
elevated,280,1,0.355,1.638
elevated,280,1,0.369,1.791
elevated,280,1,0.356,1.676
elevated,280,0,0.294,1.068
elevated,280,1,0.349,1.791
elevated,400,0,0.29,2.098
elevated,400,0,0.253,1.45
elevated,400,0,0.249,1.873
elevated,400,,0.231,1.514
elevated,400,1,0.412,2.587
elevated,400,1,0.281,1.511
elevated,400,1,0.453,2.347
elevated,400,0,0.288,1.612
elevated,400,1,0.365,1.959
elevated,400,1,0.375,2.567
elevated,400,0,0.172,1.367
elevated,400,0,0.296,1.842
elevated,400,1,0.343,2.279
elevated,400,0,0.303,1.902
elevated,400,0,0.249,1.746
elevated,400,0,0.244,1.687
elevated,400,1,0.356,2.461
elevated,400,0,0.314,1.885
elevated,400,0,0.294,1.993
elevated,400,0,0.254,1.907
elevated,400,0,0.225,1.516
elevated,400,0,0.331,1.962
