"Year","Time","fleet_start","fleet_finish","Time_record"
1945,6.59861111111111,9,8,6.59861111111111
1946,5.12013888888889,19,11,5.12013888888889
1947,5.12708333333333,28,21,5.12013888888889
1948,4.20902777777778,18,13,4.20902777777778
1949,5.43958333333333,15,13,4.20902777777778
1950,5.22777777777778,16,14,4.20902777777778
1951,4.10347222222222,14,12,4.10347222222222
1952,6.10694444444444,17,17,4.10347222222222
1953,5.3,24,20,4.10347222222222
1954,5.25625,17,15,4.10347222222222
1955,4.75902777777778,17,16,4.10347222222222
1956,4.18819444444444,28,26,4.10347222222222
1957,3.77083333333333,20,18,3.77083333333333
1958,5.10555555555556,22,19,3.77083333333333
1959,4.56458333333333,30,24,3.77083333333333
1960,4.34097222222222,32,30,3.77083333333333
1961,4.19583333333333,35,33,3.77083333333333
1962,3.15902777777778,42,40,3.15902777777778
1963,4.45347222222222,44,34,3.15902777777778
1964,3.83680555555556,38,31,3.15902777777778
1965,3.85416666666667,53,49,3.15902777777778
1966,4.36041666666667,46,44,3.15902777777778
1967,4.17361111111111,66,59,3.15902777777778
1968,4.13888888888889,67,54,3.15902777777778
1969,3.62986111111111,79,75,3.15902777777778
1970,3.5875,61,47,3.15902777777778
1971,3.53194444444444,79,76,3.15902777777778
1972,3.19583333333333,79,75,3.15902777777778
1973,3.06388888888889,92,92,3.06388888888889
1974,3.57708333333333,63,58,3.06388888888889
1975,2.60833333333333,102,99,2.60833333333333
1976,3.33263888888889,85,70,2.60833333333333
1977,3.42638888888889,131,72,2.60833333333333
1978,4.09930555555556,97,87,2.60833333333333
1979,3.07291666666667,147,142,2.60833333333333
1980,2.78125,102,93,2.60833333333333
1981,3.9375,159,144,2.60833333333333
1982,3.04097222222222,118,108,2.60833333333333
1983,3.03472222222222,173,158,2.60833333333333
1984,3.47986111111111,151,46,2.60833333333333
1985,3.18888888888889,179,146,2.60833333333333
1986,2.97638888888889,123,106,2.60833333333333
1987,2.91527777777778,154,146,2.60833333333333
1988,3.64513888888889,119,81,2.60833333333333
1989,3.26458333333333,126,101,2.60833333333333
1990,2.87847222222222,105,86,2.60833333333333
1991,3.46805555555556,99,91,2.60833333333333
1992,2.80486111111111,110,102,2.60833333333333
1993,4.0375,104,38,2.60833333333333
1994,2.7,371,309,2.60833333333333
1995,3.03680555555556,98,92,2.60833333333333
1996,2.58819444444444,95,77,2.58819444444444
1997,2.98402777777778,114,99,2.58819444444444
1998,2.79375,115,44,2.58819444444444
1999,1.825,79,49,1.825
2000,2.58472222222222,82,58,1.825
2001,2.86527777777778,75,57,1.825
2002,2.20694444444444,57,55,1.825
2003,2.63472222222222,56,52,1.825
2004,2.66666666666667,116,59,1.825
2005,1.77777777777778,85,80,1.77777777777778
2006,2.36944444444444,78,69,1.77777777777778
2007,1.89166666666667,82,79,1.77777777777778
2008,1.85694444444444,100,92,1.77777777777778
2009,2.37638888888889,100,94,1.77777777777778
2010,2.31736111111111,87,69,1.77777777777778
2011,2.25972222222222,88,76,1.77777777777778
2012,1.76597222222222,76,71,1.76597222222222
2013,2.25486111111111,94,84,1.76597222222222
2014,2.10416666666667,117,103,1.76597222222222
2015,2.37361111111111,108,77,1.76597222222222
2016,1.56319444444444,88,83,1.56319444444444
